Agent_Age,Agent_Rating,Traffic,Vehicle,Delivery_Duration,Weather_Fog,Weather_Sandstorms,Weather_Stormy,Weather_Sunny,Weather_Windy,Area_Other,Area_Semi-Urban,Area_Urban,Category_Books,Category_Clothing,Category_Cosmetics,Category_Electronics,Category_Grocery,Category_Home,Category_Jewelry,Category_Kitchen,Category_Outdoors,Category_Pet Supplies,Category_Shoes,Category_Skincare,Category_Snacks,Category_Sports,Category_Toys,distance_km,hour,is_peak,dist_x_traffic,hour_sin,distance_x_peak,peak_weight
23,4.7,1,scooter ,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.787860239172547,17,1,13.787860239172547,-0.9659258262890683,13.787860239172547,0
34,4.3,0,motorcycle ,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9302578007621216,9,0,0.0,0.7071067811865476,0.0,0
24,4.7,3,scooter ,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.39661829066159,19,1,58.189854871984764,-0.9659258262890684,19.39661829066159,2
29,4.5,3,van,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.763977224427641,20,1,41.291931673282924,-0.8660254037844386,13.763977224427641,2
35,4.0,2,scooter ,33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.21800119018663,14,0,12.43600238037326,-0.4999999999999998,0.0,1
33,4.2,3,motorcycle ,200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.849939918016492,20,1,50.54981975404948,-0.8660254037844386,16.849939918016492,2
34,4.9,3,motorcycle ,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.757108800258132,20,1,32.2713264007744,-0.8660254037844386,10.757108800258132,2
21,4.7,3,motorcycle ,75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5405743887312955,21,1,13.621723166193886,-0.7071067811865477,4.5405743887312955,2
25,4.1,3,motorcycle ,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.256076445468295,20,1,36.768229336404886,-0.8660254037844386,12.256076445468295,2
31,4.7,0,van,130,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.618739348801018,22,0,0.0,-0.5000000000000004,0.0,0
37,5.0,0,motorcycle ,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5581322655568652,8,0,0.0,0.8660254037844387,0.0,0
33,4.3,3,scooter ,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.180635114114718,19,1,60.54190534234415,-0.9659258262890684,20.180635114114718,2
25,4.0,2,motorcycle ,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.116971669682334,12,0,12.233943339364668,1.2246467991473532e-16,0.0,1
29,4.5,1,van,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.07559440107296,18,1,17.07559440107296,-1.0,17.07559440107296,2
27,5.0,3,motorcycle ,90,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.470286489434607,20,1,13.410859468303823,-0.8660254037844386,4.470286489434607,2
35,4.3,0,scooter ,190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.68204452608078,23,0,0.0,-0.25881904510252157,0.0,0
32,4.0,3,motorcycle ,235,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.973182653917394,21,1,41.91954796175219,-0.7071067811865477,13.973182653917394,2
23,4.8,0,van,60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.85361872985359,23,0,0.0,-0.25881904510252157,0.0,0
31,4.8,0,motorcycle ,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.674172124263269,22,0,0.0,-0.5000000000000004,0.0,0
36,4.1,0,motorcycle ,110,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.60161677107109,22,0,0.0,-0.5000000000000004,0.0,0
26,4.3,0,motorcycle ,105,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.720324413179964,23,0,0.0,-0.25881904510252157,0.0,0
38,4.9,2,scooter ,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1756362610169315,13,0,12.351272522033863,-0.2588190451025208,0.0,1
32,3.5,3,scooter ,35,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.29786575291325,21,1,51.893597258739746,-0.7071067811865477,17.29786575291325,2
32,4.6,0,scooter ,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.914686965545187,22,0,0.0,-0.5000000000000004,0.0,0
33,4.9,1,motorcycle ,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.724517748046026,18,1,10.724517748046026,-1.0,10.724517748046026,2
20,4.7,2,scooter ,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.127835452844326,14,0,12.255670905688651,-0.4999999999999998,0.0,1
20,4.8,0,scooter ,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5203573134022046,11,0,0.0,0.258819045102521,0.0,0
35,5.0,0,scooter ,55,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0734537599377685,9,0,0.0,0.7071067811865476,0.0,0
26,4.9,0,scooter ,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.1051314775458967,8,0,0.0,0.8660254037844387,0.0,0
22,4.8,0,motorcycle ,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86742683448048,23,0,0.0,-0.25881904510252157,0.0,0
35,4.3,1,motorcycle ,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.865464603780389,17,1,10.865464603780389,-0.9659258262890683,10.865464603780389,0
37,4.7,3,motorcycle ,260,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.682516298592299,19,1,41.0475488957769,-0.9659258262890684,13.682516298592299,2
28,4.6,3,scooter ,110,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.826241648658115,19,1,50.47872494597435,-0.9659258262890684,16.826241648658115,2
37,4.9,0,scooter ,16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0272369309754272,10,0,0.0,0.49999999999999994,0.0,0
23,4.9,3,van,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.175193844437826,21,1,27.525581533313478,-0.7071067811865477,9.175193844437826,2
27,4.9,1,scooter ,125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.315069177421892,19,1,9.315069177421892,-0.9659258262890684,9.315069177421892,2
37,4.8,1,motorcycle ,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.209021101535612,16,0,6.209021101535612,-0.8660254037844384,0.0,0
33,5.0,2,scooter ,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5203447277401048,11,0,3.0406894554802095,0.258819045102521,0.0,0
31,4.9,1,motorcycle ,80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.037225392443855,15,0,6.037225392443855,-0.7071067811865471,0.0,0
31,4.8,0,scooter ,115,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.078665498349437,22,0,0.0,-0.5000000000000004,0.0,0
25,5.0,0,motorcycle ,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.717601092054723,22,0,0.0,-0.5000000000000004,0.0,0
28,4.8,3,motorcycle ,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.464329297636581,20,1,37.392987892909744,-0.8660254037844386,12.464329297636581,2
31,4.7,0,motorcycle ,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.121425981981247,22,0,0.0,-0.5000000000000004,0.0,0
24,4.7,1,motorcycle ,95,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.02323208308448,17,1,14.02323208308448,-0.9659258262890683,14.02323208308448,0
39,4.6,0,motorcycle ,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.392612276663236,22,0,0.0,-0.5000000000000004,0.0,0
39,4.2,3,scooter ,245,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.580267822400963,20,1,37.74080346720289,-0.8660254037844386,12.580267822400963,2
32,4.5,0,scooter ,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4899271643865588,9,0,0.0,0.7071067811865476,0.0,0
36,4.7,3,motorcycle ,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.435201537430714,20,1,28.305604612292143,-0.8660254037844386,9.435201537430714,2
25,4.8,0,scooter ,90,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.916582838288104,22,0,0.0,-0.5000000000000004,0.0,0
33,4.9,3,scooter ,110,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.663566689152146,21,1,13.990700067456439,-0.7071067811865477,4.663566689152146,2
30,4.4,0,scooter ,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.641157729337541,22,0,0.0,-0.5000000000000004,0.0,0
33,5.0,0,motorcycle ,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.818368923732613,23,0,0.0,-0.25881904510252157,0.0,0
36,4.9,1,scooter ,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.128551257919138,15,0,6.128551257919138,-0.7071067811865471,0.0,0
21,4.8,0,van,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.996250036665907,10,0,0.0,0.49999999999999994,0.0,0
39,4.9,3,motorcycle ,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.342175722857793,20,1,22.02652716857338,-0.8660254037844386,7.342175722857793,2
23,4.8,0,scooter ,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.145067434621583,10,0,0.0,0.49999999999999994,0.0,0
35,4.8,1,scooter ,80,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29013467763468,15,0,6.29013467763468,-0.7071067811865471,0.0,0
39,4.6,3,scooter ,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.972123977178622,20,1,41.91637193153586,-0.8660254037844386,13.972123977178622,2
22,4.7,2,scooter ,90,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.081440797008078,12,0,12.162881594016156,1.2246467991473532e-16,0.0,1
32,4.6,1,scooter ,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.080891507842322,15,0,6.080891507842322,-0.7071067811865471,0.0,0
24,4.8,0,motorcycle ,75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.580267822400963,22,0,0.0,-0.5000000000000004,0.0,0
29,4.7,0,motorcycle ,85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.145067434621583,10,0,0.0,0.49999999999999994,0.0,0
26,4.7,0,motorcycle ,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.220373067021216,23,0,0.0,-0.25881904510252157,0.0,0
20,4.5,3,motorcycle ,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.8626681674103684,21,1,23.588004502231104,-0.7071067811865477,7.8626681674103684,2
35,4.1,3,motorcycle ,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.96960642768458,20,1,41.90881928305374,-0.8660254037844386,13.96960642768458,2
39,4.6,3,scooter ,220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.973206773137713,20,1,41.91962031941314,-0.8660254037844386,13.973206773137713,2
34,4.7,2,van,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.058853851669116,12,0,12.117707703338231,1.2246467991473532e-16,0.0,1
27,4.7,3,scooter ,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07799287216204,21,1,51.23397861648611,-0.7071067811865477,17.07799287216204,2
30,4.8,0,motorcycle ,125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.29786575291325,23,0,0.0,-0.25881904510252157,0.0,0
25,4.4,1,scooter ,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.072871906399556,18,1,17.072871906399556,-1.0,17.072871906399556,2
25,4.7,1,motorcycle ,100,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.818368923732613,18,1,16.818368923732613,-1.0,16.818368923732613,2
30,5.0,2,motorcycle ,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.979502850576494,11,0,5.959005701152988,0.258819045102521,0.0,0
24,4.6,3,motorcycle ,65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.22086597503784,20,1,27.662597925113523,-0.8660254037844386,9.22086597503784,2
39,4.8,3,motorcycle ,140,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.661331134220826,21,1,22.983993402662477,-0.7071067811865477,7.661331134220826,2
25,4.8,2,scooter ,95,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1755160934059985,12,0,12.351032186811997,1.2246467991473532e-16,0.0,1
37,4.6,0,motorcycle ,210,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.209856560906529,23,0,0.0,-0.25881904510252157,0.0,0
24,5.0,0,motorcycle ,115,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5526813140972442,10,0,0.0,0.49999999999999994,0.0,0
25,4.2,3,motorcycle ,195,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.902806732498032,21,1,50.70842019749409,-0.7071067811865477,16.902806732498032,2
32,4.6,0,motorcycle ,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5093577696337532,10,0,0.0,0.49999999999999994,0.0,0
34,4.7,0,scooter ,75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6048.631240095337,23,0,0.0,-0.25881904510252157,0.0,0
38,4.9,0,scooter ,75,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0251186390184004,8,0,0.0,0.8660254037844387,0.0,0
36,4.8,1,van,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.407092693002484,17,1,13.407092693002484,-0.9659258262890683,13.407092693002484,0
25,5.0,3,motorcycle ,75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.721976048741215,20,1,50.16592814622365,-0.8660254037844386,16.721976048741215,2
29,5.0,0,motorcycle ,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.772343594464245,22,0,0.0,-0.5000000000000004,0.0,0
36,4.7,0,van,145,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.773737657079298,23,0,0.0,-0.25881904510252157,0.0,0
33,4.7,0,motorcycle ,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.790158927084966,23,0,0.0,-0.25881904510252157,0.0,0
36,4.4,2,scooter ,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.217834398578936,12,0,12.435668797157872,1.2246467991473532e-16,0.0,1
21,4.8,0,motorcycle ,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.852834881460105,23,0,0.0,-0.25881904510252157,0.0,0
25,4.8,0,scooter ,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.610035602260694,23,0,0.0,-0.25881904510252157,0.0,0
23,4.8,0,motorcycle ,85,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.879870677373706,22,0,0.0,-0.5000000000000004,0.0,0
25,4.6,0,motorcycle ,75,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5580833985948437,10,0,0.0,0.49999999999999994,0.0,0
24,4.3,0,motorcycle ,95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.025332706173566,8,0,0.0,0.8660254037844387,0.0,0
27,4.6,3,motorcycle ,145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97194896017493,21,1,41.91584688052479,-0.7071067811865477,13.97194896017493,2
23,4.8,0,scooter ,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.830905551931956,22,0,0.0,-0.5000000000000004,0.0,0
21,4.3,3,scooter ,210,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.207797933358158,20,1,60.623393800074474,-0.8660254037844386,20.207797933358158,2
27,4.7,0,scooter ,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.040641621538495,10,0,0.0,0.49999999999999994,0.0,0
32,4.2,3,motorcycle ,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.253785359470783,20,1,60.76135607841235,-0.8660254037844386,20.253785359470783,2
25,4.6,0,motorcycle ,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.72129600980331,23,0,0.0,-0.25881904510252157,0.0,0
39,4.7,0,scooter ,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9845507897866907,10,0,0.0,0.49999999999999994,0.0,0
27,4.6,0,motorcycle ,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.16145053143676,23,0,0.0,-0.25881904510252157,0.0,0
39,3.8,3,motorcycle ,185,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.822155609317257,19,1,50.46646682795177,-0.9659258262890684,16.822155609317257,2
31,4.8,0,scooter ,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.762556904358444,22,0,0.0,-0.5000000000000004,0.0,0
31,4.8,0,van,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.055855161965923,23,0,0.0,-0.25881904510252157,0.0,0
20,4.8,0,motorcycle ,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5545816630911855,9,0,0.0,0.7071067811865476,0.0,0
36,4.9,1,motorcycle ,210,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.074047498027575,18,1,12.074047498027575,-1.0,12.074047498027575,2
20,4.9,0,motorcycle ,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.580373876280879,22,0,0.0,-0.5000000000000004,0.0,0
24,4.6,3,motorcycle ,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.469620875558295,20,1,13.408862626674885,-0.8660254037844386,4.469620875558295,2
39,4.2,1,scooter ,195,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.634870118211836,18,1,16.634870118211836,-1.0,16.634870118211836,2
37,4.8,2,scooter ,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.232139486668102,14,0,12.464278973336205,-0.4999999999999998,0.0,1
32,4.9,1,motorcycle ,140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.209021101535612,16,0,6.209021101535612,-0.8660254037844384,0.0,0
22,4.5,0,scooter ,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.460830127736633,22,0,0.0,-0.5000000000000004,0.0,0
23,4.9,0,scooter ,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.253785359470783,0,0,0.0,0.0,0.0,0
33,4.7,3,scooter ,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.600975700594585,21,1,49.80292710178375,-0.7071067811865477,16.600975700594585,2
23,4.7,0,motorcycle ,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.540321372891478,23,0,0.0,-0.25881904510252157,0.0,0
27,4.6,0,motorcycle ,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.421212735966003,23,0,0.0,-0.25881904510252157,0.0,0
34,4.7,2,scooter ,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.1187118466897275,14,0,12.237423693379455,-0.4999999999999998,0.0,1
26,5.0,0,scooter ,55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.520431947999248,10,0,0.0,0.49999999999999994,0.0,0
31,4.6,3,motorcycle ,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.087972744661085,21,1,27.263918233983254,-0.7071067811865477,9.087972744661085,2
32,4.9,0,motorcycle ,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0644871057616707,8,0,0.0,0.8660254037844387,0.0,0
27,4.7,0,motorcycle ,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.025144329113595,9,0,0.0,0.7071067811865476,0.0,0
21,4.9,1,motorcycle ,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.973206773137713,17,1,13.973206773137713,-0.9659258262890683,13.973206773137713,0
28,4.8,0,motorcycle ,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.763102784727143,23,0,0.0,-0.25881904510252157,0.0,0
24,4.9,1,scooter ,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.29013467763468,16,0,6.29013467763468,-0.8660254037844384,0.0,0
33,4.4,0,motorcycle ,140,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5368503798521727,8,0,0.0,0.8660254037844387,0.0,0
20,4.6,3,motorcycle ,220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.97317756157655,20,1,41.91953268472965,-0.8660254037844386,13.97317756157655,2
31,4.3,0,motorcycle ,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.348403522662325,23,0,0.0,-0.25881904510252157,0.0,0
36,5.0,3,motorcycle ,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.602467987619507,19,1,31.807403962858523,-0.9659258262890684,10.602467987619507,2
